MutationType	DBS78A	DBS78B	DBS78C
AC>CA	0.0023249994462821635	0.003473298412799295	0.0016356963452766138
AC>CG	2.9353160025245017e-05	0.002042397159880238	0.0032128235509071602
AC>CT	0.0006667414363562329	0.0036972785635333593	0.007400671532672618
AC>GA	0.0006800669433428652	0.00577523748550675	0.008913353944063687
AC>GG	2.6659156340258503e-07	1.7294177932853927e-05	1.2038119421049486e-05
AC>GT	0.0005807319618384099	0.00466199883542231	0.0058353670385363895
AC>TA	0.005349864082163549	0.02530039716809597	0.002302749495821246
AC>TG	2.6659156340258503e-07	1.7294177932853927e-05	1.2038119421049486e-05
AC>TT	0.00724707375979051	0.013955929433856228	0.0004795936737725981
AT>CA	0.0017993552224426067	0.010197366276350976	0.007157450259954388
AT>CC	0.0012799996284529414	0.004384005045333197	0.001905959573203546
AT>CG	2.6659156340258503e-07	1.7294177932853927e-05	1.2038119421049486e-05
AT>GA	1.1433244202798676e-05	0.013209463309081002	0.00888062452701206
AT>GC	0.0006283331609503762	0.0007565889892862288	0.003671329415335549
AT>TA	0.001133080101498365	0.007327852805602788	0.0005553752157155146
CC>AA	0.493959376513958	1.1779410051531159e-05	2.0033230173339687e-05
CC>AG	0.05343860175460577	0.016416113905954575	0.02278111050862094
CC>AT	0.07217701867222787	0.03511643926406748	0.032574841919685016
CC>GA	0.015214363406412303	0.007565585803192026	0.008799244303567377
CC>GG	0.002237311200296972	0.015213501032352496	0.009945331907385366
CC>GT	0.0034636039659380912	0.0142949818981387	0.0012025919732126056
CC>TA	0.011525120581500231	0.032662858137540524	0.03530571908247396
CC>TG	0.0024804339522961527	0.02818275956482154	0.028579066652830533
CC>TT	0.013386398069560528	0.03068779073721693	0.027948204927904497
CG>AT	0.00341560099972412	1.2226797430230363e-05	8.004867090676271e-06
CG>GC	0.0006580713882434708	1.398091744249541e-05	9.542801699353731e-06
CG>GT	0.0017530409443614304	0.00823341803295932	0.0038594499212390755
CG>TA	8.722631907431832e-08	0.0026064640268668882	0.002945099238752391
CG>TC	0.005417896303697489	1.1976448836321652e-05	7.64867635552946e-06
CG>TT	0.007365372858475894	1.176651438981935e-05	7.369307106728229e-06
CT>AA	0.04323270676657558	0.024887310321811355	0.03967640261388624
CT>AC	0.004673990046139807	0.001988112477569075	0.2514292371273041
CT>AG	0.013112865411676467	0.02604997264980014	0.011145763172842748
CT>GA	0.001183924424176297	0.0018092005147491363	0.004050842558348151
CT>GC	0.0011431148963326622	0.004796882345535778	0.006237343313721766
CT>GG	0.0005581132319602489	0.0014428532736224043	0.002518564298961792
CT>TA	0.015766041185706854	0.00022817286946064997	6.940815112557175e-06
CT>TC	0.0012459969747965261	0.012287750657044398	0.006137573217046821
CT>TG	0.0046745739877223965	0.013422398865881889	0.0216502031499229
GC>AA	0.008556957701221108	0.08735060962341094	0.04000906955237951
GC>AG	0.002378022771445103	0.010999517396165252	0.030938368194558735
GC>AT	0.003540412691072561	0.006173333314938248	0.008714411434458356
GC>CA	0.005373152199317701	0.0026507489467917367	0.00470683834801104
GC>CG	0.0006232819895215869	1.400734020080563e-05	9.814627201194526e-06
GC>TA	0.004299189883749932	0.0029179420695118097	0.0018991938018686483
TA>AT	0.004388050625566393	0.03767064157066443	0.003792915527369587
TA>CG	8.039246360169727e-08	0.0007722306915525223	0.003818849701790441
TA>CT	0.004063144827960059	0.030649211956269937	0.003979904742417091
TA>GC	0.0011697891309319175	0.003542673799212821	0.0027286186469282826
TA>GG	1.0055021174792956e-07	0.006593735259675668	0.0010229958129923489
TA>GT	0.0024310272408183662	0.02154144780763488	0.005344704570775036
TC>AA	0.018605182692408562	0.04282465538459632	0.06795353702924331
TC>AG	0.003476627301570261	0.017849421047873282	0.02066035262411333
TC>AT	0.0056384603683181924	0.0877366658957908	0.011075136194763217
TC>CA	0.0029543709411518648	0.00826284472868224	0.011295253222346525
TC>CG	2.6659156340258503e-07	1.7294177932853927e-05	1.2038119421049486e-05
TC>CT	0.0030627447762526573	0.013614116508913412	0.00807103599601593
TC>GA	0.0006727068830650751	0.004638654407916647	0.009694810404225436
TC>GG	6.907201283663511e-05	0.0029642437262987187	0.006877390173315234
TC>GT	0.0012707731263522958	0.021972796407824263	0.009719019596634553
TG>AA	0.007277189078740776	0.0076358727894916	0.020940050938797868
TG>AC	0.002064531470641171	1.2649032246372372e-05	8.407055986481282e-06
TG>AT	0.058301334418356415	0.02496984260519092	0.021607955227339916
TG>CA	0.0005363913222026894	0.026148464799243668	0.013483848963723802
TG>CC	0.00232715120514996	1.2588035824592225e-05	8.301327004573978e-06
TG>CT	0.039543762989342215	0.09399763415589404	0.026141664977814116
TG>GA	0.0012114558588683622	0.0017397443815730185	0.0035414859412890107
TG>GC	0.0016000134142262824	1.2771208398589806e-05	8.650684126223496e-06
TG>GT	0.012357806139625609	0.007130117776266615	0.04466756717301905
TT>AA	0.005870853255619295	0.03105597652930811	0.01264860519741319
TT>AC	9.673059309989185e-08	0.0005680815350297052	0.004138879507704587
TT>AG	0.000535926919928258	0.0008564095774363522	0.004332224297118045
TT>CA	0.0005367360737134419	1.4601714810851263e-05	9.982498741010203e-06
TT>CC	0.0007309107756226751	0.004095117189127678	0.010870787273628366
TT>CG	2.6659156340258503e-07	1.7294177932853927e-05	1.2038119421049486e-05
TT>GA	0.0007165487390011549	0.007385229887951112	0.00914270831658598
TT>GC	9.973388422679363e-08	0.0057799546835985895	0.0014364282220640234
TT>GG	3.8816177516665106e-08	0.005022865650919357	0.0058429228845443505
